Site,Domain,DA,Link Type,Category,Action,Status,Date Completed,Notes
Linktree,linktr.ee,88,Nofollow,Profile Site,"Create link-in-bio page pointing to site. Use in all social media bios.",,,
Gravatar,gravatar.com,88,Nofollow,Profile Site,"Create profile with website link. Powers WordPress comment avatars — your avatar appears when commenting on WP blogs.",,,
Behance,behance.net,93,Nofollow,Profile Site,"Showcase UI/UX design of the app. Upload screenshots, design assets. Profile has website link.",,,
Dribbble,dribbble.com,92,Nofollow,Profile Site,"Showcase app design shots with profile link. Upload 3-5 polished screenshots.",,,
Figma Community,figma.com,88,Nofollow,Profile Site,"Share design files or UI kit with profile link. Good for design community visibility.",,,
Patreon,patreon.com,91,Nofollow,Profile Site,"Create creator page with website link. Can be minimal — just needs to exist for the backlink.",,,
Notion,notion.so,89,Nofollow,Profile Site,"Create public pages (e.g. product roadmap or changelog). Public Notion pages are indexable by Google.",,,
SlideShare,slideshare.net,95,Nofollow,Profile Site,"Upload presentation about AI companions or company pitch deck with embedded links.",,,
Scribd,scribd.com,93,Nofollow,Profile Site,"Upload documents/whitepapers (e.g. AI Girlfriend Guide PDF) with embedded links.",,,
Flipboard,flipboard.com,92,Nofollow,Profile Site,"Create magazine curating your blog content and AI industry news. Links to your posts.",,,
Pinterest,pinterest.com,94,Nofollow,Profile Site,"Create pins linking to blog posts and landing pages. Design visual pins for each blog post.",,,
Digg,digg.com,91,Nofollow,Profile Site,"Submit content for social bookmarking. Profile has website link.",,,
Scoop.it,scoop.it,92,Nofollow,Profile Site,"Content curation platform. Create topic page curating AI girlfriend/companion content with links to yours.",,,
Pearltrees,pearltrees.com,82,Nofollow,Profile Site,"Curate content collections with links to your blog posts and pages.",,,
Webflow,webflow.com,93,Nofollow,Profile Site,"Create showcase profile with site link. Useful if you have any Webflow assets to show.",,,
