Site,Domain,DA,Link Type,Category,Action,Status,Date Completed,Notes
The AI Journal,aijourn.com,55,Dofollow,Niche Roundup,"Pitch for inclusion in their 'Best AI Girlfriend Apps' roundup. Email editor with product details and what makes you different.",,,
Hollywood Life,hollywoodlife.com,82,Nofollow,Niche Roundup,"Already publishes AI girlfriend platform roundups. Email the writer of their latest AI girlfriend article with your pitch.",,,
Latin Times,latintimes.com,70,Nofollow,Niche Roundup,"Publishes NSFW AI chat generator reviews. Pitch for inclusion in next update.",,,
CyberLink Blog,cyberlink.com,75,Nofollow,Niche Roundup,"Publishes AI girlfriend app roundups. Email blog editor to pitch inclusion.",,,
il.ly,il.ly,40,Dofollow,Niche Roundup,"Publishes ranked NSFW AI chatbot lists. Pitch for inclusion — dofollow link likely.",,,
Vocal Media (Filthy),vocal.media,78,Dofollow,Niche Roundup,"User-published NSFW AI chatbot roundups. Write your own roundup mentioning your product or pitch existing authors.",,,
Myanima Blog,myanima.ai,50,Nofollow,Niche Roundup,"Competitor blog. Pitch for inclusion if they list competitors in roundup posts.",,,
HARO / Connectively,connectively.us,N/A,Varies (DA 60-90),Earned Media,"Sign up for free. Respond to 3-5 journalist queries per week about AI, chatbots, relationships. Best ROI link building tactic. Takes 15 min/day.",,,
Guest Post Pitching,Various,40-80,Dofollow,Earned Media,"Pitch genuine analysis pieces to Unite.AI, ReadWrite, MakeUseOf, HowToGeek. Not ads — real insights about AI companions. 1-2 pitches/week.",,,
Podcast Outreach,Various,30-60,Nofollow,Earned Media,"Pitch yourself as guest to AI/tech podcasts. Host sites link to guests in show notes. Find podcasts via ListenNotes or Podchaser.",,,
Original Research PR,Various,60-95,Dofollow,Earned Media,"Plan and launch 'State of AI Girlfriends 2026' survey. Survey 500+ users. Publish data report. Pitch to tech press for coverage.",,,
