Site,Domain,DA,Link Type,Category,Action,Status,Date Completed,Notes
Futurepedia,futurepedia.io,72,Dofollow,AI Directory,"Submit AI tool listing. 5,000+ tools across 54 categories. Add detailed description and tags.",,,
FutureTools,futuretools.io,65,Dofollow,AI Directory,"Submit to Matt Wolfe's curated AI tools directory. Include pricing and feature details.",,,
Dang AI,dang.ai,80,Dofollow,AI Directory,"Free AI tools directory — growing fast. Submit with full description and screenshots.",,,
AIxploria,aixploria.com,48,Dofollow,AI Directory,"Has a dedicated 'Best AI Girlfriend Apps' page. Submit for inclusion — perfect niche fit.",,,
AI Haven,aihaven.com,42,Dofollow,AI Directory,"Has NSFW AI companions category. Submit for inclusion with detailed feature list.",,,
AI Girlfriend Scout,aigirlfriendscout.com,30,Dofollow,AI Directory,"Niche directory specifically for AI girlfriend apps. Submit listing — exact target audience.",,,
AI Companion Pick,aicompanionpick.com,30,Dofollow,AI Directory,"Dedicated AI companion review site. Submit for review or listing inclusion.",,,
Ben's Bites Directory,bensbites.com,60,Dofollow,AI Directory,"Submit for newsletter + directory exposure. Popular AI newsletter with engaged audience.",,,
TopAI.tools,topai.tools,55,Dofollow,AI Directory,"Free AI tool submission with Product Hunt integration. Complete full profile.",,,
Toolpilot,toolpilot.ai,77,Dofollow,AI Directory,"AI tools discovery and comparison. Paid listing — evaluate ROI before committing.",,,
Supertools,supertools.therundown.ai,55,Dofollow,AI Directory,"The Rundown AI newsletter's tool directory. Submit with category tags.",,,
GPTs Hunter,gptshunter.com,59,Dofollow,AI Directory,"GPT and AI tool discovery platform. Submit listing.",,,
findly.tools,findly.tools,77,Dofollow,AI Directory,"Freemium tools aggregator. Submit free listing.",,,
Twelve Tools,twelvetools.com,80,Dofollow,AI Directory,"Quality-curated tools directory. Submit — higher bar for acceptance means more value.",,,
AI Directories,aidirectori.es,40,Dofollow,AI Directory,"Meta-directory of AI directories. Submit listing.",,,
