Site,Domain,DA,Link Type,Category,Action,Status,Date Completed,Notes
Better Business Bureau,bbb.org,93,Dofollow,Business Directory,"Register business. Strong trust signal for Google and users. Dofollow link.",,,
Yelp,yelp.com,93,Nofollow,Business Directory,"Create business profile. Even online-only businesses can have Yelp pages for brand signals.",,,
Manta,manta.com,84,Dofollow,Business Directory,"Free business profile with website link. Dofollow backlink.",,,
Hotfrog,hotfrog.com,78,Dofollow,Business Directory,"Free business directory listing. Quick submission for dofollow link.",,,
Owler,owler.com,72,Nofollow,Business Profile,"Claim company profile on competitive intelligence platform. Add website and description.",,,
Craft.co,craft.co,65,Nofollow,Business Profile,"Company intelligence platform. Claim your profile and add website URL.",,,
PitchBook,pitchbook.com,78,Nofollow,Business Profile,"Submit company data for VC/PE database. Adds credibility signals.",,,
Startup Tracker,startuptracker.io,45,Dofollow,Business Profile,"Startup discovery and tracking platform. Submit listing.",,,
Hacker News (Show HN),news.ycombinator.com,92,Nofollow,Startup Directory,"Post a 'Show HN' with your URL. Nofollow but massive referral traffic potential. Time it with Product Hunt launch.",,,
AI Scout,aiscout.net,40,Dofollow,AI Directory,"Focus on new AI products. Submit listing.",,,
AI Surf,theaisurf.com,38,Dofollow,AI Directory,"AI tools directory and discovery. Submit listing.",,,
NextGen Tools,nxgntools.com,35,Dofollow,AI Directory,"Curated AI tools list. Submit listing.",,,
AI Agents List,aiagentslist.com,35,Dofollow,AI Directory,"600+ AI tools and agents directory. Submit listing.",,,
StartupLift,startuplift.com,38,Dofollow,Startup Directory,"Get user feedback + backlink. Submit for community review.",,,
Uneed,uneed.best,48,Dofollow,Startup Directory,"Free listing; $20 for featured placement. Good value if budget allows.",,,
BizSugar,bizsugar.com,72,Dofollow,Profile Site,"Submit business/startup articles with dofollow link. Share blog posts here.",,,
Slashdot,slashdot.org,88,Dofollow,Profile Site,"Tech news/discussion. Submit stories or create profile with link. Dofollow.",,,
