Site,Domain,DA,Link Type,Category,Action,Status,Date Completed,Notes
BetaList,betalist.com,75,Dofollow,Startup Directory,"Submit as early-access/beta product. Free queue (slower) or $129 for priority placement.",,,
Indie Hackers,indiehackers.com,80,Dofollow,Startup Directory,"Create product page. Post in community about building an AI girlfriend app — be genuine.",,,
SourceForge,sourceforge.net,92,Dofollow,Software Review,"Create product listing. Works for non-open-source too. High DA dofollow link.",,,
Capterra,capterra.com,92,Dofollow,Software Review,"Create free listing. Gartner-owned — auto-syndicates to GetApp + Software Advice (3 links from 1 submission).",,,
Fazier,fazier.com,81,Dofollow,Startup Directory,"Freemium SaaS/startup directory listing. Complete full profile.",,,
Startup Stash,startupstash.com,62,Dofollow,Startup Directory,"Submit tool to curated startup resources directory.",,,
F6S,f6s.com,81,Dofollow,Business Profile,"Create startup profile. Access to deals and accelerator listings.",,,
Gust,gust.com,79,Dofollow,Business Profile,"Create startup profile. Used by angel investors and accelerators.",,,
TinyLaunch,tinylaunch.com,71,Dofollow,Startup Directory,"Free indie startup directory. Simple submission.",,,
Open Launch,openlaunch.io,61,Dofollow,Startup Directory,"Free open startup directory listing.",,,
PeerPush,peerpush.com,72,Dofollow,Startup Directory,"Freemium product discovery platform. Submit listing.",,,
Launching Next,launchingnext.com,51,Dofollow,Startup Directory,"Free startup listing with description and backlink.",,,
Openhunts,openhunts.com,50,Dofollow,Startup Directory,"Free startup launch directory. Quick submission.",,,
StartupFA.me,startupfa.me,83,Dofollow,Business Profile,"Paid startup tools and resources directory. Evaluate if worth the cost.",,,
MicroLaunch,microlaunch.net,40,Dofollow,Startup Directory,"Weekly launch cycle — more visibility time per product than Product Hunt.",,,
