Site,Domain,DA,Link Type,Category,Action,Status,Date Completed,Notes
Stack Overflow,stackoverflow.com,91,Nofollow,Developer/Tech,"Create developer profile with website link. Answer AI-related questions when genuinely helpful.",,,
GitLab,gitlab.com,89,Nofollow,Developer/Tech,"Create profile or project page with website link.",,,
DevPost,devpost.com,86,Dofollow,Developer/Tech,"Create project listing. Hackathon/project showcase community. Dofollow link.",,,
Kaggle,kaggle.com,85,Nofollow,Developer/Tech,"Create profile with bio and website link. Engage with AI/ML community.",,,
CodePen,codepen.io,90,Nofollow,Developer/Tech,"Create profile with website URL. Optionally showcase any frontend demos.",,,
Bitbucket,bitbucket.org,91,Nofollow,Developer/Tech,"Create profile with website link.",,,
Replit,replit.com,82,Nofollow,Developer/Tech,"Create profile with website link.",,,
Glitch,glitch.com,84,Nofollow,Developer/Tech,"Create profile with website link.",,,
GrowthHackers,growthhackers.com,74,Nofollow,Developer/Tech,"Create community profile. Share growth case studies about AI startup traction.",,,
Moz Community,moz.com,91,Nofollow,Developer/Tech,"Create community profile with website link. Engage in SEO discussions.",,,
SitePoint Forums,sitepoint.com,78,Nofollow,Developer/Tech,"Developer forum profile with link. Participate in relevant discussions.",,,
DigitalOcean Community,digitalocean.com,88,Nofollow,Developer/Tech,"Author profile if publishing tutorials. Write about AI deployment/infrastructure.",,,
DevHunt,devhunt.org,45,Dofollow,Startup Directory,"Launch for developer-facing tools. Free submission.",,,
SideProjectors,sideprojectors.com,42,Dofollow,Startup Directory,"List the project — gets a profile + backlink even if not selling.",,,
Startupbase,startupbase.io,45,Dofollow,Startup Directory,"Brazilian startup directory with global reach. Free submission.",,,
